,station_id,contract_name,station_name,station_address,has_payment_terminal,is_bonus_station,station_status,last_update,is_connected,allows_overflow,shape,overflowStands,position_latitude,position_longitude,totalStands_capacity,totalStands_availabilities.bikes,totalStands_availabilities.stands,totalStands_availabilities.mechanicalBikes,total_electrical_bikes,total_internal_battery_bikes,total_removable_battery_bikes,main_stand_capacity,main_stand_available_bikes,main_stand_available_stands,main_stand_mechanical_bikes,main_stand_electrical_bikes,main_stand_internal_battery_bikes,main_stand_removable_battery_bikes
83,2,dublin,BLESSINGTON STREET,Blessington Street,False,False,OPEN,2024-12-25 13:44:25,True,False,,,53.356769,-6.26814,20,4,16,2,2,0,2,20,4,16,2,2,0,2
84,75,dublin,JAMES STREET,James Street,False,False,OPEN,2024-12-25 13:47:39,True,False,,,53.343456,-6.287409,40,23,17,17,6,0,6,40,23,17,17,6,0,6
85,111,dublin,MOUNTJOY SQUARE EAST,Mountjoy Square East,False,False,OPEN,2024-12-25 13:44:11,True,False,,,53.356717,-6.256359,40,5,35,3,2,0,2,40,5,35,3,2,0,2
86,26,dublin,MERRION SQUARE WEST,Merrion Square West,False,False,OPEN,2024-12-25 13:42:08,True,False,,,53.339764,-6.251988,20,5,15,4,1,0,1,20,5,15,4,1,0,1
87,65,dublin,CONVENTION CENTRE,Convention Centre,False,False,OPEN,2024-12-25 13:47:29,True,False,,,53.34744,-6.238523,40,7,33,6,1,0,1,40,7,33,6,1,0,1
88,15,dublin,HARDWICKE STREET,Hardwicke Street,False,False,OPEN,2024-12-25 13:44:36,True,False,,,53.355473,-6.264423,16,1,15,0,1,0,1,16,1,15,0,1,0,1
89,86,dublin,PARKGATE STREET,Parkgate Street,False,False,OPEN,2024-12-25 13:47:30,True,False,,,53.347972,-6.291804,38,23,15,4,19,0,19,38,23,15,4,19,0,19
90,35,dublin,SMITHFIELD,Smithfield,False,False,OPEN,2024-12-25 13:50:52,True,False,,,53.347692,-6.278214,30,12,18,4,8,0,8,30,12,18,4,8,0,8
91,10,dublin,DAME STREET,Dame Street,False,False,OPEN,2024-12-25 13:45:37,True,False,,,53.344007,-6.266802,16,7,9,5,2,0,2,16,7,9,5,2,0,2
92,100,dublin,HEUSTON BRIDGE (SOUTH),Heuston Bridge (South),False,False,OPEN,2024-12-25 13:48:27,True,False,,,53.347106,-6.292041,25,25,0,20,5,0,5,25,25,0,20,5,0,5
93,24,dublin,CATHAL BRUGHA STREET,Cathal Brugha Street,False,False,OPEN,2024-12-25 13:50:29,True,False,,,53.352149,-6.260533,20,7,13,6,1,0,1,20,7,13,6,1,0,1
94,64,dublin,SANDWITH STREET,Sandwith Street,False,False,OPEN,2024-12-25 13:50:00,True,False,,,53.345203,-6.247163,40,11,29,10,1,0,1,40,11,29,10,1,0,1
95,109,dublin,BUCKINGHAM STREET LOWER,Buckingham Street Lower,False,False,OPEN,2024-12-25 13:46:38,True,False,,,53.353331,-6.249319,29,18,11,9,9,0,9,29,18,11,9,9,0,9
96,85,dublin,ROTHE ABBEY,Rothe Abbey,False,False,OPEN,2024-12-25 13:43:46,True,False,,,53.338776,-6.30395,35,29,6,11,18,0,18,35,29,6,11,18,0,18
97,107,dublin,CHARLEVILLE ROAD,Charleville Road,False,False,OPEN,2024-12-25 13:44:43,True,False,,,53.359157,-6.281866,40,7,33,6,1,0,1,40,7,33,6,1,0,1
98,33,dublin,PRINCES STREET / O'CONNELL STREET,Princes Street / O'Connell Street,False,False,OPEN,2024-12-25 13:49:26,True,False,,,53.349013,-6.260311,23,19,4,8,11,0,11,23,19,4,8,11,0,11
